"TCGA.QR.A6GU","TCGA.QR.A6GZ","TCGA.RW.A68A","TCGA.RW.A68B","TCGA.RW.A68F","TCGA.RW.A68G","TCGA.S7.A7WQ","TCGA.S7.A7WU","TCGA.S7.A7X1","TCGA.SP.A6QH","TCGA.SR.A6MX","TCGA.W2.A7HF","TCGA.WB.A814","TCGA.WB.A817","TCGA.P7.A5NX","TCGA.P8.A5KC","TCGA.P8.A5KD","TCGA.P8.A6RX","TCGA.P8.A6RY","TCGA.PR.A5PF","TCGA.PR.A5PG","TCGA.PR.A5PH","TCGA.QR.A6GO","TCGA.QR.A6GT","TCGA.QR.A6H2","TCGA.QR.A70W","TCGA.QT.A5XJ","TCGA.QT.A5XK","TCGA.QT.A5XL","TCGA.QT.A5XM","TCGA.QT.A5XN","TCGA.QT.A5XO","TCGA.QT.A5XP","TCGA.QT.A69Q","TCGA.QT.A7U0","TCGA.RM.A68T","TCGA.RM.A68W","TCGA.RT.A6Y9","TCGA.RT.A6YA","TCGA.RT.A6YC","TCGA.RW.A67V","TCGA.RW.A67X","TCGA.RW.A680","TCGA.RW.A681","TCGA.RW.A685","TCGA.RW.A686","TCGA.RW.A688","TCGA.RW.A689","TCGA.RW.A68C","TCGA.RW.A68D","TCGA.RW.A8AZ","TCGA.RX.A8JQ","TCGA.S7.A7WL","TCGA.S7.A7WM","TCGA.S7.A7WN","TCGA.S7.A7WP","TCGA.S7.A7WR","TCGA.S7.A7WV","TCGA.S7.A7WW","TCGA.S7.A7WX","TCGA.S7.A7X0","TCGA.S7.A7X2","TCGA.SA.A6C2","TCGA.SP.A6QJ","TCGA.SR.A6MQ","TCGA.SR.A6MY","TCGA.SR.A6MZ","TCGA.TT.A6YN","TCGA.W2.A7HC","TCGA.WB.A80Q","TCGA.WB.A815","TCGA.WB.A818","TCGA.WB.A819","TCGA.WB.A81G","TCGA.WB.A81M","TCGA.WB.A81P","TCGA.WB.A81S","TCGA.WB.A81T","TCGA.WB.A81V","TCGA.WB.A81W"
3.13415915559766,1.88909656243235,1.42821047642865,2.44633431860866,3.23970170271784,2.35229440420119,3.14539198525736,1.92251794653175,2.38319665096271,1.76353947784501,3.71391308243069,1.29285888718616,3.15406953580942,2.80739531695322,1.76152868101671,1.39041070669222,1.23499480585393,3.42775284826002,3.26292003766257,2.0514323142744,1.99174259270596,1.29088144048196,1.96774151304844,2.37823748515202,2.70096032613024,2.03197349942726,1.8210836187588,1.88046415791938,4.61040637955844,2.5899103851638,1.41879119299921,2.56883959334291,2.52725504071485,3.55991795101207,4.38571430222735,2.29624300622352,2.50497473071603,2.2207165824907,1.94743687816067,1.67058793279297,2.28553923139272,1.90657817021585,2.65903424134288,2.52923725520178,1.58987276340091,3.01506503859885,3.74035813913182,2.20824161691906,1.83982498340493,3.04047007814363,1.71952692970567,1.66738442519037,2.01248679331973,1.67617712414928,2.31611793103655,2.73903063191557,1.36886945989459,1.94511061435566,2.14313280877261,1.59914494562153,2.45995037096013,2.32966726785034,2.2816193262165,2.57423377935435,2.67926997150541,2.56400226278214,1.88921301617995,1.56342272228435,1.46413342982484,2.02825794911582,1.64821922047124,1.96513670397636,1.37054262444147,3.06064215652413,2.63832874872253,1.89502258721634,2.05234633147889,2.65133118806194,2.66027240685055,2.51792671206243
2.86554414015481,1.22700537253809,1.22993486609628,1.36459988526067,2.84128963873194,1.25598104797266,3.11006952913329,1.43105486191416,2.17058015680797,1.18843890642111,2.160775008075,1.74432990254668,1.93214358710225,1.31260128468222,1.20036624183678,1.20837117251343,1.23499480585393,2.71611403989807,1.68764571247916,1.73122973731975,1.63153644394295,1,1.69102265449231,1.89628928893751,2.113967146433,1.1204428525056,1.45069448505329,1.64214240471796,1.76625124838891,1.81053770369707,1,1,2.52725504071485,1.34714517183564,2.46152279706288,1.35611901369116,2.19329076488218,1.66188501710463,1.10751446770345,1.13569311757018,1.64393974825166,1.83764821590206,2.65903424134288,1.58786612639241,1.11661161742463,1.31424291162841,2.23239122390208,2.01387169483361,1.25997565773042,2.55457559110057,1.47299197674719,1.66738442519037,2.60158741894192,1.42401588789569,1.76651374945491,1.89173452318407,1.08170502755535,2.28099490392303,1.89784952095185,1.2284874866434,1.93396120718441,1.8452298907549,1.29745967713068,1.88566572565706,2.03804665760519,1.62623913142456,1.36070699882148,1.13166059670804,1.46413342982484,1.33329777866001,1.71205557655658,2.27998974065583,1.45000923383967,1.37147801366799,1.56280705630783,1.51583303309387,1.31941330669039,1.68865573165882,2.28718148090243,1.58208482232295
2.91825111858382,2.16968324961924,1.89833142627251,3.19976907086128,2.77877334614205,1.88072861937771,4.03020557655255,1.71957117428488,2.84454755037928,1.8774937684954,4.29350254862093,1.64400714548594,2.39758202371281,2.99421330193246,1.76152868101671,1.20837117251343,1,3.26578822512523,1.96340383711974,1.99282642739376,2.27974287116687,1.64012945814514,1.75077584542907,2.59938540356474,2.113967146433,2.20540784076104,1.61671432703054,2.30549956246463,3.98999873548964,3.46550162695998,2.00749800499094,1.94977844312306,4.21936928316624,2.50399894638743,4.18393711755829,1.83506547588217,1.7951672237977,2.27129927038923,2.47483394635959,1.47972827757704,1.45949509582261,2.03528078901295,2.88018162034536,1.86188431909098,2.42423012718623,2.2987486277931,3.16364267257599,2.37950646230621,2.12746787202544,2.12189269074101,2.27656336455035,2.27002533149701,3.72150806301337,2.86704363849509,2.50615963205639,3.36820191376472,1.30225762724724,1.66798338330478,2.73590034777897,2.3473569602321,2.59986405744752,2.6187240149776,2.02176681647767,3.00495058023194,3.08953323474915,2.27094360154535,2.57936674972465,1.81920546601816,2.58126229631135,1.47491361761683,2.0938741681607,2.90215618209344,1.66509983600576,3.3031323758816,2.15505750569617,2.01494153653741,1.65832940753863,2.33882514736504,2.86430759836553,2.80118183838156
1.34617400607873,4.59409524757472,2.4477473909689,1,1.10565059134242,2.94391926421992,1.14666043510026,1,5.33714903081854,1.12831979957966,1,1,1,1,1.13661993039496,1,1.4370199502919,2.87437206062143,2.94475145757197,2.36043535596974,1.28650919198249,1,1.42368411710947,1.16740802936774,1.10785723377895,1.23160013964528,5.47477039434806,1.98632245937952,1.4670488395265,1.46145783739434,3.74968914795309,2.84306348081882,1.55639704181896,2.1532771157457,1,1.07860368683508,2.45748240182904,1.11525169546152,2.39219430754895,4.10328982293751,1.45949509582261,4.09110867345468,1.40814390882897,1.46180774685696,1.74285561972919,1.57213102359497,1.27868480507809,2.11432770847752,1.48017876460545,1.09652567073203,1.1754651994735,2.27002533149701,2.21574133461907,3.78525476370508,2.78828416377289,1.15581916413582,3.39329825931276,1.11652645191749,1.33226224029055,1.75396773139265,1.6418387000278,1.90781823876075,3.22146230462028,2.70501025298183,2.16670323502354,1,1.55917411611326,1,1.89052412723377,1.83160975046087,2.61174721844094,1.77752365946133,1.7302164858724,1.16023739185686,1.56280705630783,3.04130975265109,1.31941330669039,2.55449381484859,1.11106871510866,2.16512599861564
1.09463604974067,3.73987077961381,1.68233642423097,1,1.10565059134242,2.15678490755436,1.27977792861361,1,4.232617705514,1,1,1,1,1.11189733734571,1,1.20837117251343,1.23499480585393,1.81707799993444,2.23695604320848,1.8012083319687,1,1,1.18464782534699,1.08613087364075,1.10785723377895,1.1204428525056,4.56082810378814,1.43339001419351,1.32751779443537,1.17075062791339,2.8853625322955,1.94977844312306,1.55639704181896,1.62674983755492,1,1,1.63362557164701,1,2.30453177675162,3.05514323583289,1.16995064912617,3.05260300109456,1,1.39439176286141,1.32487625750927,1,1.0989982176396,2.20824161691906,1.48017876460545,1.18699616122625,1.33188461080687,1.95687853133883,1.59329878735435,3.22429176666088,1.76651374945491,1.08001222844113,2.8798359165945,1,1.22978170458198,1.11876237505383,1.35632244538734,1.63931182189982,2.69266933805909,2.15337473271968,1.56446499594958,1.28382045423173,1.25019759155732,1,1.81473702866205,1.47491361761683,2.14101973909536,1.56181391832986,1.5253257325752,1.16023739185686,1.69016317674137,2.6549381967441,1.11451028778493,2.55449381484859,1,2.24292621860693
1,3.75208616955231,1.89833142627251,1.19378751046944,1.10565059134242,2.35229440420119,1.14666043510026,1,4.31264651539499,1,1,1,1,1,1.06992690437885,1,1,1.81707799993444,2.66503387193129,2.16195215892674,1.15035560527683,1,1.18464782534699,1.08613087364075,1.10785723377895,1,4.64396992736827,1.43339001419351,1.25234238395998,1,2.8853625322955,1.78622748661342,1.39366660467716,2.10847427520837,1.13414732428588,1,1.7951672237977,1,2.43410589416543,3.33440566298686,1.24796396001582,3.35349027839013,1,1.17089352613931,1.41872158229616,1,1.0989982176396,2.01387169483361,1.37427442636625,1.09652567073203,1.1754651994735,1.7704730316405,2.08346800911216,2.90043502140844,2.36602616033626,1.15581916413582,2.39588895838994,1,1.51767178147039,1.2284874866434,1.57558051148236,1.39902941557784,2.88381609471473,2.21320137161146,1.36435222941351,1.28382045423173,1.36070699882148,1.13166059670804,1.25065178516362,1.33329777866001,2.0938741681607,1.56181391832986,1.28644295131877,1.23414136831428,1.69016317674137,2.70334526353685,1.11451028778493,2.33882514736504,1,1.45707784435075
1.09463604974067,1.36065138221546,1.1195434330116,1,1.29623830666343,1.0904686604686,1.51401163878702,1.1368357949082,1.34264121356672,1.18843890642111,1.30066027804361,1,1,1.4887633203403,1.06992690437885,1.55203221937342,1.23499480585393,1,1,1,1,1.15275973281434,1,1.63568475025467,1.10785723377895,1,1,1.18923755904031,1.25234238395998,1,1.15350574312746,1.2714459955983,1.30485677991919,1.0949258307553,1,1.22402359913607,1.12685394792019,1.22197356677932,1.10751446770345,1,1.08747641949271,1.33614396822109,1.25844234074753,1,1.11661161742463,1,1,1.19612543592219,1,1.09652567073203,1.1754651994735,1.66738442519037,1,1,1,1.2964374371032,1.08170502755535,3.40332103834476,1.60214517953223,1.2284874866434,1.09766405401174,1,1.08030905519446,1,1,1,1.25019759155732,1,1,1,1.36021367773079,1.16225000318364,1.10193240257652,1.49687032685229,1,1.14724807792628,1,1.49349772857936,1,1
2.78268722140238,1.54043253621232,1.51798565205242,1,2.14774400031681,2.79043821965503,1,1.76250912981119,3.37847264221687,1.30164617259824,1.82567126544094,1.29285888718616,1,2.51344602387531,2.39993039428093,3.50118294053648,3.48528886286043,1.13123321121405,1.18358242627443,1.93173826792366,1.15035560527683,1.83338115556102,2.15630308757525,1.16740802936774,1.5516488994096,1.33480279465569,1.22241014576664,4.15689959518081,1.32751779443537,3.98375575497275,1.29223754447022,1.69692903531241,1,1.80579885793419,1.36997618772663,7.00114958396395,1.24344912631628,1.11525169546152,1.55013381371749,1,1.08747641949271,4.0306309442845,1,1.32367097147028,2.0665459572169,1,1,2.79722012981952,1.83982498340493,2.3737848885583,1.33188461080687,1.16045297872289,1,1.32911555737143,1.12120642103745,3.28624169707442,1.66237049988753,2.7464854064857,2.08560991033294,1.33045456814241,1.50613220537892,1,1.29745967713068,1.12984943147342,1.46787521919173,1,1.88921301617995,2.22512651840502,1.25065178516362,1.83160975046087,3.92487443723386,3.03379545511302,2.94679859598268,2.86516639837366,1.96663755375245,2.38505713054642,1.41189314777147,1.86053220878304,2.33373056004082,1
2.01217067075728,1.70027235580915,1.60250011382385,2.28547501763679,1.99112398152519,1.66215262265784,1.80655297296553,1.58251361268726,1.53285902153401,1.246152666569,1.30066027804361,1.29285888718616,2.06331724376884,1.40336971645511,1.20036624183678,2.3526633401801,2.1624146936811,2.22231616258314,2.06046629255662,1.49828508325226,1.82285249145293,1.92109351670671,1.56353694068361,1.38691852392702,2.51754782660639,1.60635646932581,1.41506851688878,1.93436401509835,2.30182319928078,2.32638202571972,1.5351332622156,2.02508834431086,1.89743599916257,1.62674983755492,2.05094183948078,1.64150533711507,2.50497473071603,1.93719710166544,1.62442098998559,1.37391097642822,1.64393974825166,2.74906373291921,1.78186325736185,2.17476113599436,1.81366464239805,2.0670297793347,1.64914268343887,2.29641394231629,1.99080350558188,2.33473987866864,1.71952692970567,1.30483400580242,2.64915970237023,2.07750689910052,1.12120642103745,1.97779974965065,1.30225762724724,1.94511061435566,2.19844983487541,1.95890502058855,1.76587034608439,1.63931182189982,1.5995101402142,2.27064554928806,1.56446499594958,1.28382045423173,2.27517157689105,1.89529331359334,1.46413342982484,2.79450133375168,2.04513573627103,1.30808356402942,2.11859627930599,1.43553632262006,1.56280705630783,1.40311989988699,1.49880077423688,2.33882514736504,1.78262159834935,1.32020217673689
1.85882049883675,1.64893522032507,1.60250011382385,2.72255214642264,2.45813418372421,3.86342915656939,1.51401163878702,2.22843761479308,1.34264121356672,1.45636512695085,2.34750635583393,1.53618323438752,1.86179501168591,2.34045858494633,1.95873319326617,2.4378746223459,2.64285403434968,1.89302314729747,1.56066849405558,2.45029541067549,1.9097673448685,2.35823448423425,2.11142232326059,2.07542994459193,1.6968961058474,2.92074490551121,1.55258020478248,1.98632245937952,1.6539024517911,2.17404937604479,3.333906268861,1.2714459955983,3.58967972676006,2.39629487241492,1.98144243129443,1.64150533711507,2.87396493906598,3.9043482517725,3.03379704056603,2.36621001192664,2.85814913392375,1.52335820804017,2.20658665272643,1.64699162290718,2.78298846209875,3.17909888381074,1.58227321670705,2.67095995136579,1.37427442636625,1.92565085170197,3.56425072284156,2.27002533149701,2.44866576740044,2.83286126121916,2.31611793103655,1.48459085238547,2.19023430513097,2.28099490392303,3.03837682905698,3.00112053877381,1.82410387739216,2.18553801734511,1.80254976159009,2.37909662844507,1.89678333836837,2.20444500317384,2.15762972640551,2.33849173422716,2.53478028006654,4.60588209788638,1.71205557655658,2.59623270084599,2.06911541549599,1.49687032685229,2.39830083842543,3.02235485091016,2.10869673355166,1.49349772857936,1.71389461156027,1.90286042962978
